2021-08-10 19:23:19   INFO [WebElements:34  ] : Element was clicked: [[ChromeDriver: chrome on WINDOWS (068a0c0f5acce46859bec170eb70b699)] -> xpath: (//button[contains(text(),'Зарегистрироваться')])[1]]
2021-08-10 19:27:16   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:27:16   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:27:20   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:27:20   INFO [    TestsR:75  ] : Link was opened
2021-08-10 19:27:46   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:27:46   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:27:49   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:27:49   INFO [    TestsR:75  ] : Link was opened
2021-08-10 19:28:09   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:28:09   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:28:12   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:28:12   INFO [    TestsR:75  ] : Link was opened
2021-08-10 19:28:44   INFO [    TestsR:43  ] : Get chromeDriver
2021-08-10 19:28:44   INFO [    TestsR:46  ] : browser was opened
2021-08-10 19:28:48   INFO [  MainPage:24  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:28:48   INFO [    TestsR:94  ] : Test input valid data started
2021-08-10 19:28:50   INFO [    TestsR:102 ] : data was inputted
2021-08-10 19:28:50   INFO [    TestsR:104 ] : Submit button was clicked
2021-08-10 19:52:33   INFO [    TestsR:40  ] : Get chromeDriver
2021-08-10 19:52:33   INFO [    TestsR:43  ] : browser was opened
2021-08-10 19:52:36   INFO [  MainPage:25  ] : Page was opened https://rozetka.com.ua/
2021-08-10 19:52:36   INFO [    TestsR:61  ] : Test input valid data InRegistrationForm started
2021-08-10 23:03:48   INFO [    TestsR:44  ] : Get chromeDriver
2021-08-10 23:03:48   INFO [    TestsR:47  ] : browser was opened
2021-08-10 23:03:52   INFO [  MainPage:25  ] : Page was opened https://rozetka.com.ua/
2021-08-10 23:03:52   INFO [    TestsR:68  ] : Test inputInvalidNumberInSignInForm started
2021-08-10 23:08:08   INFO [    TestsR:44  ] : Get chromeDriver
2021-08-10 23:08:08   INFO [    TestsR:47  ] : browser was opened
2021-08-10 23:08:11   INFO [  MainPage:25  ] : Page was opened https://rozetka.com.ua/
2021-08-10 23:08:11   INFO [    TestsR:68  ] : Test inputInvalidNumberInSignInForm started
2021-08-10 23:09:28   INFO [    TestsR:44  ] : Get chromeDriver
2021-08-10 23:09:29   INFO [    TestsR:47  ] : browser was opened
2021-08-10 23:09:32   INFO [  MainPage:25  ] : Page was opened https://rozetka.com.ua/
2021-08-10 23:09:32   INFO [    TestsR:68  ] : Test inputInvalidNumberInSignInForm started
